"taxid","species_name","accession_num","seq_name","seq_len"
3363751,"Shuja horei",NA,NA,NA
3363610,"Jabarichromis pfefferi",NA,NA,NA
3362876,"Kihnichthys ufermanni",NA,NA,NA
3362043,"Wallaceochromis rubrolabiatus",NA,NA,NA
3361905,"Tropheops novemfasciatus",NA,NA,NA
3361592,"Thorichthys panchovillai",NA,NA,NA
3361526,"Talamancaheros underwoodi",NA,NA,NA
3361249,"Stigmatochromis pholidophorus",NA,NA,NA
3361248,"Stigmatochromis macrorhynchos",NA,NA,NA
3360486,"Rocio spinosissima",NA,NA,NA
3360106,"Pseudotropheus interruptus",NA,NA,NA
3360104,"Pseudotropheus fuscus",NA,NA,NA
3359846,"Protomelas triaenodon",NA,NA,NA
3359514,"Placidochromis trewavasae",NA,NA,NA
3359509,"Placidochromis obscurus",NA,NA,NA
3359503,"Placidochromis mbunoides",NA,NA,NA
3359497,"Placidochromis hennydaviesae",NA,NA,NA
3359489,"Placidochromis acutirostris",NA,NA,NA
3358660,"Otopharynx tetraspilus",NA,NA,NA
3358657,"Otopharynx selenurus",NA,NA,NA
3358655,"Otopharynx panniculus",NA,NA,NA
3358653,"Otopharynx decorus",NA,NA,NA
3357458,"Melanochromis mpoto",NA,NA,NA
3357456,"Melanochromis dialeptos",NA,NA,NA
3357396,"Maylandia pulpican",NA,NA,NA
3357115,"Lobochilotes labiata",NA,NA,NA
3357000,"Lethrinops atrilabris",NA,NA,NA
3355987,"Hemitaeniochromis brachyrhynchus",NA,NA,NA
3355774,"Haplochromis degeni",NA,NA,NA
3355609,"Greenwoodochromis staneri",NA,NA,NA
3355608,"Greenwoodochromis abeelei",NA,NA,NA
3354084,"Crenicara punctulata",NA,NA,NA
3353860,"Coptodon imbrifernus",NA,NA,NA
3353859,"Coptodon gutturosus",NA,NA,NA
3353858,"Coptodon flavus",NA,NA,NA
3353857,"Coptodon coffea",NA,NA,NA
3353512,"Chindongo minutus",NA,NA,NA
3353510,"Chindongo heteropictus",NA,NA,NA
3352475,"Aulonocara stonemani",NA,NA,NA
3352472,"Aulonocara gertrudae",NA,NA,NA
3351789,"Alticorpus peterdaviesi",NA,NA,NA
3132026,"Lufubuchromis relictus",NA,NA,NA
3075802,"Diplotaxodon longimaxilla",NA,NA,NA
3075801,"Cynotilapia zebroides",NA,NA,NA
3075800,"Cynotilapia aurifrons",NA,NA,NA
3035823,"Rubricatochromis lifalili","NC_086568","Rubricatochromis lifalili isolate F-H-l-1 mitochondrion, complete genome",16700
3035822,"Rubricatochromis bimaculatus",NA,NA,NA
3026021,"Tahuantinsuyoa chipi",NA,NA,NA
3026020,"Bujurquina robusta",NA,NA,NA
3026019,"Bujurquina moriorum",NA,NA,NA
3026018,"Bujurquina labiosa",NA,NA,NA
3024885,"Haplochromis oregosoma",NA,NA,NA
3024884,"Haplochromis argens",NA,NA,NA
3024641,"Haplochromis annectidens",NA,NA,NA
3024640,"Haplochromis limax",NA,NA,NA
3002305,"Mylochromis ensatus",NA,NA,NA
3002218,"Stigmatochromis melanchros",NA,NA,NA
3002117,"Petrotilapia microgalana",NA,NA,NA
3001729,"Haplochromis antleter",NA,NA,NA
3001609,"Labidochromis maculicauda",NA,NA,NA
3001389,"Placidochromis elongatus",NA,NA,NA
3001388,"Placidochromis boops",NA,NA,NA
3000954,"Melanochromis baliodigma",NA,NA,NA
3000375,"Haplochromis microdon",NA,NA,NA
3000199,"Diplotaxodon ecclesi",NA,NA,NA
2999775,"Bujurquina tambopatae",NA,NA,NA
2999773,"Bujurquina megalospilus",NA,NA,NA
2983622,"Geophagus parnaibae",NA,NA,NA
2983620,"Geophagus neambi",NA,NA,NA
2965234,"Hemichromis angolensis",NA,NA,NA
2962739,"Tylochromis trewavasae",NA,NA,NA
2962738,"Lamprologus tumbanus","OQ862833","Lamprologus tumbanus mitochondrion, complete genome",16586
2962737,"Rubricatochromis cerasogaster",NA,NA,NA
2962736,"Chromidotilapia mamonekenei",NA,NA,NA
2957226,"Gymnogeophagus lacustris",NA,NA,NA
2948619,"Ptychochromis loisellei",NA,NA,NA
2948617,"Paretroplus petiti",NA,NA,NA
2944963,"Apistogramma commbrae",NA,NA,NA
2938789,"Rocio gemmata",NA,NA,NA
2929786,"Haplochromis simba",NA,NA,NA
2929785,"Haplochromis dolorosus",NA,NA,NA
2929784,"Haplochromis engystoma",NA,NA,NA
2929783,"Haplochromis vicarius",NA,NA,NA
2926661,"Pseudetroplus maculatus","AP009505","Pseudetroplus maculatus mitochondrial DNA, complete genome",16457
2910447,"Protomelas labridens",NA,NA,NA
2910446,"Protomelas kirkii",NA,NA,NA
2910445,"Otopharynx ovatus",NA,NA,NA
2910444,"Otopharynx auromarginatus",NA,NA,NA
2910443,"Mylochromis formosus",NA,NA,NA
2910442,"Melanochromis lepidiadaptes",NA,NA,NA
2910441,"Lethrinops micrentodon",NA,NA,NA
2910440,"Copadichromis verduyni",NA,NA,NA
2910439,"Copadichromis melas",NA,NA,NA
2910438,"Copadichromis atripinnis",NA,NA,NA
2910437,"Buccochromis spectabilis",NA,NA,NA
2910436,"Aulonocara saulosi",NA,NA,NA
2910435,"Aulonocara ethelwynnae",NA,NA,NA
2904584,"Petrotilapia chrysos",NA,NA,NA
2898554,"Labeotropheus artatorostris",NA,NA,NA
2897418,"Haplochromis fuelleborni",NA,NA,NA
2884491,"Crenicichla ternetzi",NA,NA,NA
2884489,"Crenicichla nickeriensis",NA,NA,NA
2884488,"Crenicichla labrina",NA,NA,NA
2884487,"Crenicichla isbrueckeri",NA,NA,NA
2884484,"Crenicichla brasiliensis",NA,NA,NA
2873762,"Australoheros acaroides",NA,NA,NA
2873647,"Heros notatus",NA,NA,NA
2867283,"Crenicichla niederleinii",NA,NA,NA
2855657,"Geophagus mirabilis",NA,NA,NA
2835316,"Krobia itanyi",NA,NA,NA
2833481,"Satanoperca rhynchitis",NA,NA,NA
2829702,"Haplochromis kimondo",NA,NA,NA
2829701,"Haplochromis rex",NA,NA,NA
2829700,"Haplochromis quasimodo",NA,NA,NA
2829699,"Haplochromis falcatus",NA,NA,NA
2829698,"Haplochromis pardus",NA,NA,NA
2815923,"Crenicichla gillmorlisi",NA,NA,NA
2815922,"Crenicichla lucenai",NA,NA,NA
2815921,"Crenicichla stocki",NA,NA,NA
2813639,"Crenicara latruncularium",NA,NA,NA
2813638,"Andinoacara blombergi",NA,NA,NA
2812811,"Crenicichla inpa",NA,NA,NA
2812807,"Apistogramma hippolytae",NA,NA,NA
2802246,"Chuco microphthalmus",NA,NA,NA
2802245,"Amatitlania altoflava",NA,NA,NA
2785219,"Ptychochromis insolitus",NA,NA,NA
2766849,"Haplochromis crassilabris",NA,NA,NA
2766848,"Haplochromis theliodon",NA,NA,NA
2766847,"Haplochromis bicolor",NA,NA,NA
2766844,"Haplochromis parvidens",NA,NA,NA
2766843,"Haplochromis coprologus",NA,NA,NA
2766842,"Haplochromis vanoijeni",NA,NA,NA
2766841,"Haplochromis megalops",NA,NA,NA
2766840,"Haplochromis prodromus",NA,NA,NA
2766839,"Haplochromis perrieri",NA,NA,NA
2766838,"Haplochromis chromogynos",NA,NA,NA
2766837,"Haplochromis howesi",NA,NA,NA
2760995,"Haplochromis vonlinnei",NA,NA,NA
2760994,"Haplochromis paropius",NA,NA,NA
2760993,"Abactochromis labrosus",NA,NA,NA
2760991,"Haplochromis serranus",NA,NA,NA
2748571,"Apistogramma feconat",NA,NA,NA
2748570,"Apistogramma megastoma",NA,NA,NA
